Country,Year,Annual CO₂ emissions (per capita),GDP per capita,Population,Mean income or consumption per day,poverty_gap_index_4000
Albania,1996,0.61672294,4862.4824,3271336.0,7.9331574,80.187584
Albania,2002,1.2000023,5636.1846,3123554.0,8.108229,79.863976
Albania,2005,1.4051845,6531.797,3032636.0,9.165975,77.26636
Albania,2008,1.4896697,8615.24,2951690.0,10.038169,75.33583
Albania,2012,1.6769501,11106.769,2892191.0,9.517231,76.309616
Albania,2014,2.0802503,11079.809,2884100.0,10.14131,74.75471
Albania,2015,1.6347523,11644.792,2882482.0,12.245265,69.58675
Albania,2016,1.607732,11674.589,2881064.0,12.532007,68.927666
Albania,2017,1.8382717,12126.523,2879361.0,12.411219,69.17815
Albania,2018,1.7013975,12267.312,2877019.0,13.316507,66.86352
Albania,2019,1.6795896,12531.788,2873883.0,13.749831,65.939316
Algeria,1988,3.4528713,9404.003,24243024.0,7.464024,82.48309
Algeria,1995,3.3983018,8597.436,28478024.0,7.1112137,99.999985
Algeria,2011,3.4231644,15523.892,36543548.0,9.225503,76.94599
Angola,2000,0.97566444,2228.5913,16394067.0,7.3882604,82.79701
Angola,2008,0.86440015,6923.387,21691524.0,6.5260253,83.95191
Angola,2018,0.6853864,7588.662,31273538.0,5.4820733,87.26111
Armenia,1999,0.9482759,3688.1565,3206033.0,5.100736,87.38669
Armenia,2001,1.1275281,4040.34,3133138.0,4.8466773,87.92517
Armenia,2002,0.99090284,4396.316,3105040.0,5.084001,87.38021
Armenia,2003,1.1204411,5031.019,3084107.0,5.225257,87.106514
Armenia,2004,1.2040119,5389.253,3065748.0,6.4784,84.2978
Armenia,2005,1.4361025,6023.9185,3047254.0,7.1383777,82.6848
Armenia,2006,1.4543548,6901.371,3026490.0,6.8902817,82.86553
Armenia,2007,1.6975813,7882.088,3004398.0,7.6751237,80.88852
Armenia,2008,1.8685873,8643.752,2983425.0,7.844795,80.52842
Armenia,2009,1.4719603,8038.7026,2964300.0,6.9723577,82.61136
Armenia,2010,1.4434226,8880.064,2946296.0,7.1184015,82.43796
Armenia,2011,1.6964511,9795.726,2928984.0,7.2667,81.93383
Armenia,2012,1.9723431,11476.973,2914428.0,7.5278435,81.31833
Armenia,2013,1.9077103,11309.393,2901386.0,7.810947,80.73307
Armenia,2014,1.9391817,10791.942,2889937.0,8.011235,80.185875
Armenia,2015,1.8999954,11156.541,2878598.0,8.588196,78.89144
Armenia,2016,1.8155274,11325.965,2865841.0,9.041172,78.05273
Armenia,2017,1.9425985,12979.432,2851929.0,8.796435,78.82263
Armenia,2018,2.0538187,13588.856,2836563.0,8.794251,78.73798
Armenia,2019,2.2279305,14735.138,2820604.0,7.906314,80.56032
Australia,1981,14.320772,25480.332,14930055.0,38.338165,24.215923
Australia,1985,14.2252865,26544.85,15785685.0,39.614704,23.751816
Australia,1989,15.291002,30357.975,16796586.0,40.71301,23.103243
Australia,1995,16.944706,33466.836,18003002.0,37.48887,25.906008
Australia,2001,18.58794,40172.168,19248146.0,43.19192,21.214926
Australia,2003,18.754335,41971.69,19699004.0,44.54257,20.117683
Australia,2004,19.215673,42933.586,19925060.0,48.479614,16.647438
Australia,2008,19.0257,47621.637,21247876.0,61.296535,11.1785345
Australia,2010,18.416328,50222.52,22019166.0,61.075916,10.900859
Australia,2014,16.747185,51919.355,23469578.0,65.29173,8.697453
Australia,2016,16.955637,51497.21,24195706.0,63.784096,9.247839
Australia,2018,16.627844,54236.766,24979228.0,64.60964,9.182778
Austria,1994,7.695504,30206.715,7935366.0,52.79821,12.109861
Austria,1995,8.0586,31342.947,7947293.0,51.675167,12.179934
Austria,1996,8.467981,31967.035,7958043.0,49.57932,12.94718
Austria,1997,8.445388,33539.09,7967086.0,49.529774,12.971954
Austria,1998,8.390326,34845.543,7975856.0,51.93569,12.648256
Austria,1999,8.217767,36093.906,7991382.0,53.480297,10.942162
Austria,2000,8.260701,38036.566,8010425.0,51.975815,11.363488
Austria,2003,9.53213,38394.566,8120105.0,55.16432,9.942463
Austria,2004,9.508893,39732.598,8171215.0,58.215557,8.652059
Austria,2005,9.614327,43298.79,8227034.0,55.63884,9.241473
Austria,2006,9.291188,43980.133,8267771.0,56.96011,8.985213
Austria,2007,8.935539,45328.258,8294720.0,59.32459,9.210105
Austria,2008,8.832387,46818.812,8321134.0,60.31674,8.661794
Austria,2009,8.068539,44564.95,8342939.0,62.461014,8.6765375
Austria,2010,8.611599,45806.348,8362829.0,63.092503,7.768305
Austria,2011,8.331258,47593.11,8391201.0,61.909378,8.565679
Austria,2012,7.9817066,48182.363,8429641.0,60.4941,8.931554
Austria,2013,7.9928894,47261.83,8479542.0,63.458008,7.5908103
Austria,2014,7.509409,49125.188,8546066.0,62.47972,8.009248
Austria,2015,7.6790557,49618.703,8642422.0,62.24562,8.334728
Austria,2016,7.694917,49865.79,8736491.0,65.065186,7.7088976
