Country,Year,Share below $1 a day,Share below $2.15 a day,Share below $3.65 a day,Share below $6.85 a day,Share below $10 a day,Share below $20 a day,Share below $30 a day,Share below $40 a day,Number below $1 a day,Number below $2.15 a day,Number below $3.65 a day,Number below $6.85 a day,Number below $10 a day,Number below $20 a day,Number below $30 a day,Number below $40 a day,40% of median - share of population below poverty line,50% of median - share of population below poverty line,60% of median - share of population below poverty line,40% of median - total number of people below poverty line,50% of median - total number of people below poverty line,60% of median - total number of people below poverty line,Mean income or consumption per day,Median income or consumption per day,Threshold income or consumption per day marking the poorest decile,Threshold income or consumption per day marking the richest decile,mld,gini,polarization,decile1_share,decile2_share,decile3_share,decile4_share,decile5_share,decile6_share,decile7_share,decile8_share,decile9_share,decile10_share,decile2_thr,decile3_thr,decile4_thr,decile5_thr,decile6_thr,decile7_thr,decile8_thr,income_gap_ratio_40_median,income_gap_ratio_50_median,income_gap_ratio_60_median,poverty_gap_index_40_median,poverty_gap_index_50_median,poverty_gap_index_60_median,avg_shortfall_40_median,avg_shortfall_50_median,avg_shortfall_60_median,total_shortfall_40_median,total_shortfall_50_median,total_shortfall_60_median,income_gap_ratio_100,income_gap_ratio_1000,income_gap_ratio_2000,income_gap_ratio_215,income_gap_ratio_3000,income_gap_ratio_365,income_gap_ratio_4000,income_gap_ratio_685,poverty_gap_index_100,poverty_gap_index_1000,poverty_gap_index_2000,poverty_gap_index_215,poverty_gap_index_3000,poverty_gap_index_365,poverty_gap_index_4000,poverty_gap_index_685,avg_shortfall_100,avg_shortfall_1000,avg_shortfall_2000,avg_shortfall_215,avg_shortfall_3000,avg_shortfall_365,avg_shortfall_4000,avg_shortfall_685,total_shortfall_100,total_shortfall_1000,total_shortfall_2000,total_shortfall_215,total_shortfall_3000,total_shortfall_365,total_shortfall_4000,total_shortfall_685,decile1_avg,decile2_avg,decile3_avg,decile4_avg,decile5_avg,decile6_avg,decile7_avg,decile8_avg,decile9_avg,decile10_avg,bottom50_share,middle40_share,palma_ratio,s80_s20_ratio,p90_p10_ratio,p90_p50_ratio,p50_p10_ratio
Albania,1996,0.057415817,0.534846,8.898443,47.879143,75.62388,98.702095,99.89742,99.95165,1819,16944,281906,1516827,2395790,3126915,3164784,3166502,2.768821,7.548123,14.802514,87717,239127,468949,7.9331574,6.9721026,3.691232,13.164797,0.119104326,0.27010342,0.24129327,3.8632858,5.2893467,6.3786836,7.3220415,8.379662,9.354903,10.823087,12.473869,14.899548,21.215572,4.6873064,5.3996286,6.228325,6.9714327,8.039671,9.17858,10.682603,14.954244,17.34493,19.693201,0.41405544,1.3092166,2.915092,0.4170501,0.6046532,0.8238182,36582.383,144588.9,386328.72,3.9243627,38.96034,61.430424,18.363247,73.68915,18.08491,80.22636,28.927036,0.0022532642,29.463327,60.633118,0.09821453,73.61356,1.6092775,80.187584,13.850017,0.039243627,3.8960338,12.286085,0.39480984,22.106743,0.6600992,32.09054,1.981502,71.384155,9334079,38417544,6689.658,69963064,186085.92,101614770,3005595.8,3.0648055,4.1961217,5.06031,5.8086905,6.647718,7.4213915,8.586124,9.895717,11.820045,16.830648,31.23302,47.551407,0.92833495,3.9458723,3.566505,1.8883919,1.8886466
Albania,2002,0.046370625,1.0926474,11.388324,52.090965,76.70505,96.52886,98.94813,99.762024,1415,33337,347459,1589301,2340278,2945105,3018917,3043749,3.2122831,8.406373,16.020554,98007,256479,488789,8.108229,6.6881413,3.5018895,13.990763,0.1648116,0.3173898,0.26898164,3.4940019,4.859444,5.842059,6.738204,7.6531024,8.839459,10.228584,11.984428,14.925079,25.435638,4.370816,5.093828,5.8582616,6.6871114,7.6624665,8.913951,10.652152,17.54355,18.595226,20.58073,0.5635481,1.5631825,3.297149,0.46933502,0.6218375,0.825881,45998.117,159488.27,403681.56,43.873215,41.3879,63.137638,17.337122,74.09592,19.966413,80.054504,31.078037,0.020347556,31.7466,60.94604,0.18943487,73.31651,2.2738404,79.863976,16.188852,0.43873215,4.13879,12.627528,0.37274814,22.228775,0.7287741,32.0218,2.1288455,620.80597,9685919,37189396,12426.305,67106828,253219.11,97466320,3383376.2,2.8330164,3.9401484,4.736875,5.46349,6.2053103,7.1672363,8.2935705,9.717249,12.101595,20.623798,28.586811,45.97755,1.2150565,4.831625,3.995204,2.0921981,1.9095724
Albania,2005,0,0.5910857,7.2893047,40.42843,68.45309,95.40567,98.85736,99.54694,0,17800,219516,1217497,2061456,2873129,2977076,2997843,4.0950017,8.991532,16.67577,123320,270779,502189,9.165975,7.7997913,3.983527,15.433521,0.15441276,0.30595654,0.25452867,3.4825358,4.920109,5.9772825,6.9211826,7.9881587,9.037068,10.372144,12.126408,14.833943,24.341167,5.0393324,5.9497,6.793219,7.7962003,8.827788,10.28045,12.068591,16.876625,20.329166,21.973644,0.69109565,1.8279048,3.664277,0.52653664,0.7928163,1.028339,64932.5,214678,516420.56,,37.084915,58.724285,15.179814,70.71591,19.209354,77.61802,28.443775,0,25.38577,56.026287,0.08972335,69.90787,1.4002254,77.26636,11.4993725,,3.7084916,11.744857,0.32636604,21.214773,0.7011414,31.047209,1.9483986,0,7644892,33744490,5809.3154,63157990,153911.77,93074660,2372169.5,3.1920836,4.5097594,5.478762,6.343938,7.3219256,8.283354,9.507081,11.115035,13.596755,22.311052,29.289268,46.369564,1.1427183,4.6622353,3.8743358,1.9796209,1.9571099
Albania,2008,0,0.19992515,3.9026127,33.43185,62.76887,94.58283,98.50923,99.34445,0,5892,115022,985342,1849996,2787653,2903376,2927993,2.118535,7.2277145,14.137155,62440,213023,416666,10.038169,8.4002,4.598464,16.435902,0.14889339,0.2998467,0.24731112,3.7336252,5.136781,6.0884724,6.9835844,7.9120784,8.924132,10.298735,11.929075,14.535205,24.458311,5.6678367,6.554397,7.4853826,8.395616,9.562263,11.150203,12.968081,15.433301,16.52257,19.235216,0.3269605,1.1942017,2.7193103,0.51857126,0.6939645,0.969478,32379.59,147830.39,403948.53,,33.673496,55.581455,19.82939,68.46281,13.493117,75.832954,24.404856,0,21.136477,52.570515,0.0396411,67.44217,0.5265829,75.33583,8.1589985,,3.3673496,11.116291,0.42633188,20.538841,0.4924988,30.333181,1.6717327,0,6229583.5,30988362,2511.9475,59631976,56648.195,88815340,1647228.4,3.747876,5.156388,6.111711,7.01024,7.942278,8.958195,10.338044,11.974607,14.590684,24.551666,29.854542,45.687145,1.1146566,4.3959107,3.5742157,1.9576768,1.8257434
Albania,2012,0.024100756,0.6206909,4.805442,36.66775,65.062386,95.52016,99.07353,99.742485,699,18003,139377,1063512,1887070,2770468,2873530,2892932,3.5105217,7.7531123,14.795234,101819,224871,429121,9.517231,8.240385,4.410012,16.009024,0.13841707,0.28960484,0.24998792,3.659527,5.1930947,6.143644,7.0307255,8.083832,9.256943,10.515455,12.293301,14.889137,22.93434,5.4278827,6.244149,7.1602106,8.240385,9.336886,10.757146,12.696908,19.90841,20.938734,21.696526,0.69888765,1.623401,3.2100513,0.65621185,0.8627162,1.0727264,66814.836,193999.86,460329.44,16.88353,34.893833,56.502228,21.087643,69.22244,21.463726,76.50663,25.827152,0.00406895,22.702759,53.971027,0.13089253,68.58113,1.0314263,76.309616,9.470237,0.1688353,3.4893832,11.300446,0.45338434,20.766733,0.78342605,30.602652,1.7691598,118.01587,6584710.5,31307524,8162.2783,59673830,109191.57,88531390,1881522.6,3.4828565,4.942388,5.8470473,6.6913037,7.6935697,8.810046,10.007801,11.699819,14.170336,21.827143,30.110823,46.954834,1.0411925,4.2725735,3.6301544,1.9427519,1.868563
Albania,2014,0,1.0231007,9.675968,38.743828,60.97816,91.58505,98.09888,99.50539,0,29558,279549,1119350,1761722,2645988,2834178,2874814,7.5302234,14.375828,22.218988,217556,415333,641930,10.14131,8.295376,3.6729488,19.057009,0.19866157,0.34598896,0.3243097,2.853004,4.173767,5.222913,6.3115983,7.5123734,8.932859,10.593702,12.724538,16.13092,25.544321,4.778565,5.816744,7.0193214,8.295376,9.8354025,11.715442,14.168049,19.121283,22.750904,25.801023,1.4398752,3.270634,5.7327294,0.63447285,0.9436365,1.2841752,138033.38,391923.38,824350.56,,40.190563,57.090504,13.557807,67.98603,21.440683,75.126305,32.35489,0,24.507462,52.286373,0.13870792,66.69351,2.0745955,74.75471,12.535527,,4.0190563,11.4181,0.29149285,20.39581,0.78258497,30.05052,2.2163098,0,7080460,30212156,8615.945,57805350,218770.84,86389656,2480826.2,2.8933196,4.2327466,5.2967176,6.4007874,7.6185303,9.05909,10.7434025,12.904348,16.358866,25.905287,26.073654,48.38202,1.3762155,5.930923,5.1884766,2.297305,2.2585056
Albania,2015,0,0.096067496,3.5193932,25.443327,49.784966,86.345604,96.06041,98.83122,0,2767,101383,732947,1434157,2487360,2767215,2847034,5.105085,10.768762,18.778408,147062,310216,540950,12.245265,10.043126,4.866551,22.41005,0.17549548,0.32753733,0.30036378,3.154479,4.546798,5.566422,6.579465,7.6200233,8.886237,10.474084,12.523295,15.869892,24.779308,6.2021456,7.440887,8.645385,10.043126,11.779435,13.96286,16.924362,18.696886,21.508848,23.31975,0.95448977,2.3162363,4.3790765,0.7511008,1.0800804,1.4052192,110458.38,335058.22,760153.3,,32.873936,51.151512,4.1942506,62.669964,17.58058,70.40968,25.460222,0,16.366276,44.167076,0.004028701,60.201027,0.6187281,69.58675,6.4779305,,3.2873936,10.230303,0.090176396,18.80099,0.64169115,28.163874,1.7440251,0,4714638.5,25446446,249.51808,52026380,65056.574,80183500,1278278,3.8627431,5.5676746,6.816231,8.056728,9.33092,10.881433,12.825793,15.335107,19.433102,30.34292,27.467188,47.75351,1.2485062,5.2782416,4.604914,2.231382,2.0637052
Albania,2016,0,0.13930316,4.6666355,25.484667,48.316612,84.99648,95.69869,98.50471,0,4006,134217,732965,1389635,2444584,2752391,2833095,6.572461,12.754677,20.024607,189031,366837,575928,12.532007,10.274922,4.7005067,23.151937,0.18758059,0.33736297,0.31438035,2.969406,4.3505154,5.4224176,6.423767,7.524432,8.896663,10.520496,12.703985,16.138762,25.049555,6.1555076,7.449993,8.641799,10.274922,12.094328,14.3953495,17.810978,18.71582,22.53815,25.509914,1.2300923,2.874665,5.1082616,0.76921433,1.1578887,1.5726745,145405.36,424756.4,905747.3,,34.307415,51.07695,7.6376057,62.10538,14.568671,69.973976,27.007324,0,16.576185,43.413597,0.0106381,59.43404,0.6798661,68.927666,6.8827286,,3.4307415,10.215389,0.16420853,18.631615,0.5317565,27.98959,1.8500016,0,4767478.5,24972378,657.8194,51281490,71370.766,79297170,1355986.4,3.7212615,5.452069,6.7953777,8.050269,9.429624,11.149305,13.184294,15.920643,20.225107,31.39212,26.69054,48.25991,1.3069714,5.6268797,4.925413,2.253247,2.185918
Albania,2017,0,0.39256993,3.6266825,25.540997,48.67047,85.1776,96.03344,98.86871,0,11280,104211,733910,1398525,2447542,2759480,2840950,5.2713103,11.629809,19.14936,151469,334178,550249,12.411219,10.187669,4.9050775,22.721241,0.17990847,0.33055663,0.30852225,3.0905285,4.4599423,5.477605,6.508123,7.604976,8.908397,10.539262,12.717886,16.080849,24.61243,6.208563,7.416532,8.733054,10.187446,11.970809,14.320671,17.554668,21.152704,21.46405,24.385496,1.1150259,2.4962313,4.6696696,0.86198694,1.0933431,1.4905882,130564.3,365371.22,820194.7,,33.5495,51.12028,9.884754,62.102837,20.297743,69.96971,25.743176,0,16.3287,43.543034,0.038803443,59.639507,0.7361336,69.17815,6.5750666,,3.35495,10.224056,0.21252221,18.630852,0.7408677,27.987883,1.7634073,0,4691981.5,25023806,2397.2505,51411464,77206.56,79512180,1294182.2,3.8357224,5.5353317,6.798375,8.0773735,9.438702,11.056406,13.080508,15.784447,19.958294,30.547026,27.141176,48.24639,1.2598372,5.389502,4.632188,2.2303178,2.0769184
Albania,2018,0,0.04810705,2.7303748,18.16096,39.372112,83.79993,96.276825,99.00125,0,1379,78263,520561,1128553,2402021,2759656,2837748,6.1173778,11.773786,18.648508,175347,337481,534536,13.316507,11.6399765,5.476367,23.323376,0.15240441,0.30148283,0.26593012,3.1698256,4.768175,5.97204,7.073262,8.135162,9.345278,10.747296,12.59714,15.449506,22.742311,7.197381,8.705178,10.097402,11.6399765,13.293339,15.376027,18.44751,21.109074,23.753891,26.162321,1.2913215,2.7967327,4.878879,0.98283654,1.3824737,1.8271726,172337.44,466558.62,976689.56,,30.633015,46.54786,11.714787,58.679127,17.086567,67.538055,25.450987,0,12.060868,39.007072,0.005635929,56.494408,0.46652845,66.86352,4.62214,,3.0633016,9.309572,0.25186792,17.603739,0.62365973,27.015223,1.7433925,0,3457098.2,22361788,347.32587,48580264,48809.48,76662390,907542.1,4.221101,6.349543,7.9526715,9.419115,10.833194,12.444646,14.311645,16.774992,20.573347,30.284815,29.118465,48.13922,1.0838289,4.811264,4.258914,2.0037305,2.1254923
