Entity,Year,Annual CO₂ emissions from cement_x,Annual CO₂ emissions from cement_y,Annual CO₂ emissions from coal,Annual CO₂ emissions from gas,Annual CO₂ emissions from oil,Coal consumption - TWh,Coal production (TWh),Fossil fuels (% equivalent primary energy),Gas consumption - TWh,Gas production (TWh),Oil consumption - TWh,Oil production (TWh),Fossil fuels - % electricity
Algeria,2000,3789426.0,3789426.0,1960240.0,38534290.0,26827808.0,5.6405497,0.0,99.94677,191.01292,918.8863,103.13248,776.73285,99.803154
Algeria,2001,3765771.0,3765771.0,2095808.0,41029470.0,28458288.0,6.5127997,0.0,99.934784,197.32211,864.72534,106.77533,764.68414,99.73704
Algeria,2002,4057716.8,4057716.8,2608768.0,44653170.0,29495200.0,8.54805,0.0,99.948326,194.83887,889.41583,118.397224,824.4972,99.783005
Algeria,2003,4032067.8,4032067.8,2788304.0,44026624.0,31942752.0,7.0477796,0.0,99.7719,205.93167,938.57587,123.17411,918.8281,99.120735
Algeria,2004,4896735.0,4896735.0,1923600.0,41209010.0,32818448.0,8.408489,0.0,99.79321,211.89917,920.5493,128.74683,971.6982,99.2
Algeria,2005,5661540.0,5661540.0,2363280.0,61210784.0,31052400.0,6.9082203,0.0,99.56588,223.55986,849.1175,134.21338,1005.2701,98.37806
Algeria,2006,6540025.0,6540025.0,2700368.0,49306450.0,35233024.0,10.25766,0.0,99.83672,228.4975,812.9949,139.84572,1002.5293,99.37553
Algeria,2007,7000746.0,7000746.0,3011808.0,51076160.0,38321776.0,8.80391,0.0,99.840096,233.80681,816.45984,156.39,1005.7857,99.40845
Algeria,2008,7583376.0,7583376.0,3008246.0,51550560.0,37363070.0,8.80391,0.0,99.81225,244.04187,826.0078,169.9159,985.77057,99.304
Algeria,2009,8220337.0,8220337.0,1593840.0,54894050.0,44891330.0,5.65218,0.0,99.78721,262.1176,765.6687,180.13441,898.23145,99.22078
Algeria,2010,8252310.0,8252310.0,1216486.0,53367830.0,45365410.0,3.6053,0.0,99.884865,253.27225,773.9655,181.61191,858.0033,99.62825
Algeria,2011,8187219.5,8187219.5,1047871.94,56720636.0,46919740.0,3.1982498,0.0,99.76474,267.9696,795.9875,192.22765,833.5803,99.02382
Algeria,2012,7696658.0,7696658.0,1036882.06,64114496.0,48539276.0,3.3959599,0.0,99.77547,298.74075,784.4375,204.39526,781.67554,98.91986
Algeria,2013,7298420.0,7298420.0,725472.0,65450036.0,51918880.0,1.83754,0.0,99.935234,321.21512,793.38873,213.57639,753.43787,99.44899
Algeria,2014,7667871.0,7667871.0,545922.0,73831360.0,52884812.0,2.08177,0.0,99.88249,360.91824,801.724,221.92514,799.80676,99.611015
Algeria,2015,8062013.5,8062013.5,501968.03,78768670.0,55590210.0,1.5467899,0.0,99.90318,379.225,814.1113,236.14848,781.8267,99.68043
Algeria,2016,9105100.0,9105100.0,0.0,78677070.0,54626576.0,0.56987,0.0,99.854195,385.9625,913.9226,229.56384,795.6897,99.521385
Argentina,1985,2324940.0,2324940.0,2773547.0,28808982.0,60435480.0,10.599606,2.627868,83.84299,155.69725,135.08025,237.50685,280.96475,41.419544
Argentina,1986,2789169.0,2789169.0,3392864.0,30964464.0,62200064.0,12.109348,2.3913596,84.51769,168.2425,150.83475,249.74571,265.96246,45.197803
Argentina,1987,3169197.0,3169197.0,3777584.0,36698624.0,66453964.0,13.439672,2.4504867,84.30385,168.33974,147.33376,266.5798,262.51917,45.345196
Argentina,1988,3046641.0,3046641.0,4023193.0,42232540.0,66232460.0,13.772349,3.3636708,88.54056,196.6395,174.661,268.36047,275.8608,59.597527
Argentina,1989,2252950.0,2252950.0,4143983.8,44609200.0,59752510.0,14.902768,3.3768103,89.71474,206.55899,184.67775,246.34749,281.7945,63.709454
Argentina,1990,1822000.0,1822000.0,3070432.0,43213216.0,59188256.0,12.266131,1.813229,85.68047,197.32025,173.494,229.97305,295.82712,49.90442
Argentina,1991,2196000.0,2196000.0,2689376.0,47283920.0,61232770.0,10.794012,1.9183435,86.6977,200.91849,193.81924,240.28345,301.00766,54.799755
Argentina,1992,2495000.0,2495000.0,2802960.0,48302510.0,63632690.0,12.168163,1.3270733,86.20113,217.25648,195.37524,252.70636,337.74042,52.20377
Argentina,1993,2761000.0,2761000.0,2301136.0,40808516.0,67154330.0,8.069987,1.1037045,83.97837,229.41273,209.282,247.78004,361.31885,48.27552
Argentina,1994,3050000.0,3050000.0,3561301.0,42676988.0,67203064.0,7.065107,2.2796755,82.855446,235.83125,216.57574,261.49545,401.36295,45.143917
Argentina,1995,2621000.0,2621000.0,3700747.0,53195484.0,62835748.0,7.414152,2.0037491,84.27329,262.47775,243.22224,259.54364,435.6241,49.120033
Argentina,1996,2422000.0,2422000.0,3099659.0,57541548.0,65920892.0,7.766816,2.0365975,86.55454,301.18326,281.34424,259.82446,474.6901,56.030098
Argentina,1997,3169000.0,3169000.0,2777312.0,61503904.0,66867996.0,6.1277137,1.648987,84.08795,277.55148,266.2705,275.29974,504.57437,49.855396
Argentina,1998,3283000.0,3283000.0,2839600.0,61613824.0,69575700.0,8.23741,1.9052044,85.44613,296.70972,287.76273,283.28546,512.04645,53.7695
Argentina,1999,3290000.0,3290000.0,2154486.0,67620810.0,72724890.0,9.885469,2.2074091,87.87863,314.701,336.19324,287.10687,484.84152,63.99072
Argentina,2000,2771000.0,2771000.0,1656171.0,69438260.0,67434000.0,7.512647,1.7015444,85.20856,322.96722,363.81223,264.93796,480.87112,60.463024
Argentina,2001,2481000.0,2481000.0,1289728.0,64808830.0,64336176.0,6.1568522,1.2219585,81.148125,302.35025,361.1865,245.34851,510.89627,51.131573
Argentina,2002,1729000.0,1729000.0,1099232.0,62619610.0,57497184.0,4.5862966,0.30220482,81.26085,294.37573,351.16974,232.86867,503.27728,50.11231
Argentina,2003,2280000.0,2280000.0,1989552.0,69070060.0,59356800.0,5.593865,0.58470076,82.59188,336.2905,399.11398,237.5023,501.18347,54.024113
Argentina,2004,2701000.0,2701000.0,2198349.0,82910710.0,67811730.0,9.519818,0.3350532,84.89297,368.09125,436.45798,254.68643,477.1305,60.831837
Argentina,2005,3241000.0,3241000.0,3268288.0,81967340.0,71799740.0,10.961645,0.16424188,84.82098,392.89,443.75174,266.6645,457.86237,60.20804
Argentina,2006,3764000.0,3764000.0,3865520.0,83868960.0,81912380.0,9.9238205,0.92632335,84.0118,406.505,448.32248,281.325,458.60773,58.68818
Argentina,2007,3998000.0,3998000.0,3660336.0,87177550.0,77951600.0,14.36036,0.7226637,87.11315,427.12198,435.97174,312.6087,444.4343,65.11628
Argentina,2008,3990000.0,3990000.0,3876512.0,90119740.0,88657810.0,17.516068,1.057717,87.27977,431.88724,428.4835,316.19568,439.66977,67.32015
Argentina,2009,3810000.0,3810000.0,3231648.0,87994620.0,82381380.0,9.620937,0.5387129,85.62992,418.3556,403.0119,302.02786,395.9278,64.00425
Argentina,2010,4178000.0,4178000.0,3990096.0,86928400.0,90145390.0,13.472079,0.4270286,86.17743,420.87415,389.96994,327.43576,387.02927,66.68254
Argentina,2011,4586000.0,4586000.0,4722987.0,92587400.0,86908090.0,14.618645,0.59127015,87.222115,438.3979,377.17844,339.91183,362.6855,69.874115
Argentina,2012,4184000.0,4184000.0,5008688.0,95381250.0,85587380.0,13.669181,0.62411857,88.03826,456.64206,366.91202,360.51144,358.6779,72.51139
Argentina,2013,4581000.0,4581000.0,4840051.0,91338100.0,87487304.0,14.939302,0.54528266,87.40551,460.2769,345.5585,382.57983,351.06256,70.61312
Argentina,2014,4336000.0,4336000.0,5536412.0,92843900.0,84291960.0,15.891717,0.37447134,87.49812,461.54977,344.8588,379.9156,346.41473,71.091385
Argentina,2015,4571000.0,4571000.0,5466688.0,93534590.0,86954050.0,15.814129,0.22336891,87.28206,466.52567,354.91144,387.81003,349.43137,71.482605
Argentina,2016,4028999.8,4028999.8,4191696.2,96302760.0,84555740.0,12.188642,0.16627173,87.68365,482.1001,372.82358,375.905,332.97617,72.97867
Australia,1985,2891227.0,2891227.0,119255860.0,30147392.0,71909660.0,368.1389,1074.3456,95.13684,133.95262,133.95262,332.8008,356.8411,85.33957
Australia,1986,2907944.0,2907944.0,118774830.0,28091888.0,73946850.0,377.4861,1142.8596,95.20144,146.32928,146.32928,328.14703,318.80838,85.03401
Australia,1987,2877805.0,2877805.0,126142370.0,28971662.0,76351530.0,393.3611,1193.6675,95.46711,149.39459,149.39459,336.66992,338.87204,86.246735
Australia,1988,3135975.0,3135975.0,130359450.0,29685728.0,77207810.0,413.7639,1173.2935,95.35832,152.9934,152.99338,351.9731,321.6083,85.901215
Australia,1989,3379537.0,3379537.0,141140830.0,30345248.0,81436060.0,433.9583,1274.678,95.58005,166.87563,177.07564,366.51617,303.33276,86.97708
Australia,1990,3462872.0,3462872.0,141877120.0,34454816.0,88777064.0,444.34723,1334.6012,95.5406,167.75948,206.11147,374.88458,352.09924,89.5595
Australia,1991,3183033.0,3183033.0,146082830.0,32786244.0,88177110.0,453.2639,1384.4242,95.25994,160.82101,215.765,362.62082,332.76974,89.45298
Australia,1992,2923411.0,2923411.0,150048670.0,33970470.0,87848830.0,455.95834,1477.2352,95.26828,166.36957,233.33595,370.54694,327.94684,89.440796
Australia,1993,3004698.0,3004698.0,150095870.0,35670000.0,90317980.0,458.88885,1484.1,95.24057,172.49344,243.83902,382.0519,305.8865,89.425964
Australia,1994,3484276.0,3484276.0,151376240.0,37032004.0,91854050.0,468.2639,1516.9104,95.47281,191.56656,279.91214,395.58917,329.3391,89.912346
Australia,1995,3357750.0,3357750.0,155734560.0,39846604.0,96067800.0,484.16666,1591.8179,95.76028,193.4157,295.95966,427.7775,310.114,90.39024
Australia,1996,3243616.0,3243616.0,160388110.0,39780864.0,98664200.0,503.9583,1640.6821,95.763405,194.82663,296.33704,439.01538,326.40598,90.41199
Australia,1997,3184589.0,3184589.0,167683120.0,41089936.0,98381130.0,529.4583,1789.1143,95.854164,191.30504,296.37646,446.05783,346.43536,90.83093
Australia,1998,3475413.0,3475413.0,177614220.0,43506310.0,99141530.0,553.0833,1832.1017,95.96225,196.9532,302.7371,445.9702,328.0255,91.335785
Australia,1999,3519991.0,3519991.0,183231000.0,45564336.0,100809496.0,587.44305,1931.9178,95.991066,201.74052,307.1253,456.15396,319.4973,91.36847
Australia,2000,3620856.0,3620856.0,185796850.0,46609504.0,102650110.0,591.6619,1996.8198,96.01112,205.55078,311.92328,455.98157,431.37653,91.91071
Australia,2001,3540903.0,3540903.0,190082200.0,49326200.0,103173960.0,585.69135,2157.921,96.12924,221.69318,326.41318,457.08533,399.1475,92.30358
Australia,2002,3487738.0,3487738.0,191146660.0,50589116.0,105452250.0,598.8721,2224.0464,96.06856,228.14816,330.0116,461.9748,396.66782,91.968315
Australia,2003,3584016.0,3584016.0,195386030.0,49716830.0,109672984.0,616.0213,2299.0476,95.98503,229.94289,337.45224,460.25992,343.3505,91.74154
Australia,2004,3554645.0,3554645.0,202225440.0,52533588.0,113758710.0,641.92114,2388.8308,95.96344,234.53601,359.3031,471.29572,299.85922,91.54561
Australia,2005,3664127.0,3664127.0,200715380.0,54492210.0,116499380.0,638.2223,2501.2886,95.68645,232.58981,382.35278,478.70187,294.55624,91.020195
Australia,2006,3888062.0,3888062.0,204400540.0,55826404.0,117391850.0,655.49884,2556.8406,95.766594,259.4306,406.82227,493.64178,268.95715,91.11727
Australia,2007,3971547.0,3971547.0,203558740.0,61064320.0,119464420.0,649.8025,2640.8552,96.02327,290.19815,427.51184,506.2703,286.4461,91.65673
