Entity,Code,Year,Coal consumption - TWh
Africa,,1965,323.49615
Africa,,1966,323.1222
Africa,,1967,330.29156
Africa,,1968,343.5129
Africa,,1969,346.64288
Africa,,1970,360.7569
Africa,,1971,383.0123
Africa,,1972,384.21082
Africa,,1973,408.9103
Africa,,1974,425.64618
Africa,,1975,451.08047
Africa,,1976,481.07413
Africa,,1977,491.69846
Africa,,1978,477.81558
Africa,,1979,507.24698
Africa,,1980,543.55707
Africa,,1981,635.79877
Africa,,1982,701.17584
Africa,,1983,713.24603
Africa,,1984,762.8979
Africa,,1985,787.16583
Africa,,1986,805.356
Africa,,1987,828.3197
Africa,,1988,890.16077
Africa,,1989,835.62085
Africa,,1990,877.6782
Africa,,1991,853.76215
Africa,,1992,858.8312
Africa,,1993,871.7139
Africa,,1994,894.4478
Africa,,1995,922.47125
Africa,,1996,935.2283
Africa,,1997,959.01904
Africa,,1998,937.03894
Africa,,1999,966.0107
Africa,,2000,963.73047
Africa,,2001,975.9262
Africa,,2002,934.42163
Africa,,2003,1017.0484
Africa,,2004,1119.1617
Africa,,2005,1039.0726
Africa,,2006,1054.0969
Africa,,2007,1071.6333
Africa,,2008,1180.7251
Africa,,2009,1176.002
Africa,,2010,1165.7358
Africa,,2011,1147.9299
Africa,,2012,1119.2825
Africa,,2013,1131.4148
Africa,,2014,1184.3005
Africa,,2015,1120.4587
Africa,,2016,1186.4392
Africa,,2017,1185.3502
Africa,,2018,1164.7024
Africa,,2019,1230.6681
Africa,,2020,1178.5452
Africa,,2021,1159.7943
Africa,,2022,1103.5779
Africa (EI),,1965,323.49615
Africa (EI),,1966,323.1222
Africa (EI),,1967,330.2916
Africa (EI),,1968,343.51288
Africa (EI),,1969,346.64288
Africa (EI),,1970,360.7569
Africa (EI),,1971,383.0123
Africa (EI),,1972,384.21082
Africa (EI),,1973,408.91034
Africa (EI),,1974,425.6462
Africa (EI),,1975,451.08047
Africa (EI),,1976,481.07416
Africa (EI),,1977,491.69843
Africa (EI),,1978,477.81558
Africa (EI),,1979,507.24698
Africa (EI),,1980,543.55707
Africa (EI),,1981,635.79877
Africa (EI),,1982,701.17584
Africa (EI),,1983,713.24603
Africa (EI),,1984,762.8978
Africa (EI),,1985,787.1659
Africa (EI),,1986,805.356
Africa (EI),,1987,828.3197
Africa (EI),,1988,890.16077
Africa (EI),,1989,835.62085
Africa (EI),,1990,877.6782
Africa (EI),,1991,853.76215
Africa (EI),,1992,858.8311
Africa (EI),,1993,871.7139
Africa (EI),,1994,894.4478
Africa (EI),,1995,922.47125
Africa (EI),,1996,935.2283
Africa (EI),,1997,959.0191
Africa (EI),,1998,937.03894
Africa (EI),,1999,966.0107
Africa (EI),,2000,963.7305
Africa (EI),,2001,975.9262
Africa (EI),,2002,934.4216
Africa (EI),,2003,1017.0484
Africa (EI),,2004,1119.1619
Africa (EI),,2005,1039.0726
Africa (EI),,2006,1054.097
Africa (EI),,2007,1071.6333
Africa (EI),,2008,1180.7251
Africa (EI),,2009,1176.002
Africa (EI),,2010,1165.736
Africa (EI),,2011,1147.9299
Africa (EI),,2012,1119.2825
Africa (EI),,2013,1131.4148
Africa (EI),,2014,1184.3007
Africa (EI),,2015,1120.4589
Africa (EI),,2016,1186.4392
Africa (EI),,2017,1185.3502
Africa (EI),,2018,1164.7024
Africa (EI),,2019,1230.6681
Africa (EI),,2020,1178.5452
Africa (EI),,2021,1159.7943
Africa (EI),,2022,1103.5779
Algeria,DZA,1965,0.81409997
Algeria,DZA,1966,0.79083997
Algeria,DZA,1967,0.60476
Algeria,DZA,1968,0.63965
Algeria,DZA,1969,0.81409997
Algeria,DZA,1970,0.96528995
Algeria,DZA,1971,0.26749
Algeria,DZA,1972,0.23259999
Algeria,DZA,1973,0.26749
Algeria,DZA,1974,0.22096999
Algeria,DZA,1975,0.27912
Algeria,DZA,1976,0.54660994
Algeria,DZA,1977,0.70943
Algeria,DZA,1978,0.36053
Algeria,DZA,1979,0.83736
Algeria,DZA,1980,0.74432
Algeria,DZA,1981,0.52335
Algeria,DZA,1982,9.711049
Algeria,DZA,1983,8.66435
Algeria,DZA,1984,9.60638
Algeria,DZA,1985,10.025061
Algeria,DZA,1986,10.292549
Algeria,DZA,1987,12.30454
Algeria,DZA,1988,11.571849
Algeria,DZA,1989,9.78083
Algeria,DZA,1990,7.66417
Algeria,DZA,1991,7.9084
Algeria,DZA,1992,9.397039
Algeria,DZA,1993,7.6525397
Algeria,DZA,1994,7.2106
Algeria,DZA,1995,7.2106
Algeria,DZA,1996,3.3959599
Algeria,DZA,1997,5.95456
Algeria,DZA,1998,6.37324
Algeria,DZA,1999,6.82681
Algeria,DZA,2000,5.6405497
Algeria,DZA,2001,6.5127997
Algeria,DZA,2002,8.54805
Algeria,DZA,2003,7.0477796
Algeria,DZA,2004,8.408489
Algeria,DZA,2005,6.9082203
Algeria,DZA,2006,10.25766
Algeria,DZA,2007,8.80391
Algeria,DZA,2008,8.80391
Algeria,DZA,2009,5.65218
Algeria,DZA,2010,3.6053
Algeria,DZA,2011,3.1982498
Algeria,DZA,2012,3.3959599
Algeria,DZA,2013,1.83754
Algeria,DZA,2014,2.08177
Algeria,DZA,2015,1.5467899
Algeria,DZA,2016,0.56987
Algeria,DZA,2017,2.1166599
Algeria,DZA,2018,5.815
Algeria,DZA,2019,4.80319
Algeria,DZA,2020,1.52353
Algeria,DZA,2021,3.10521
Algeria,DZA,2022,1.4969789
Argentina,ARG,1965,8.4550495
Argentina,ARG,1966,6.971818
Argentina,ARG,1967,7.840397
Argentina,ARG,1968,7.619035
Argentina,ARG,1969,9.1221695
Argentina,ARG,1970,11.722598
Argentina,ARG,1971,10.277542
Argentina,ARG,1972,8.651295
Argentina,ARG,1973,9.496522
Argentina,ARG,1974,11.825921
Argentina,ARG,1975,11.51094
Argentina,ARG,1976,11.642586
Argentina,ARG,1977,11.008503
Argentina,ARG,1978,13.419195
Argentina,ARG,1979,12.501674
Argentina,ARG,1980,11.144589
Argentina,ARG,1981,10.560467
Argentina,ARG,1982,10.666076
Argentina,ARG,1983,9.679963
Argentina,ARG,1984,7.185223
Argentina,ARG,1985,10.599606
Argentina,ARG,1986,12.109348
Argentina,ARG,1987,13.439672
Argentina,ARG,1988,13.772349
Argentina,ARG,1989,14.902768
Argentina,ARG,1990,12.266131
Argentina,ARG,1991,10.794012
Argentina,ARG,1992,12.168163
Argentina,ARG,1993,8.069987
Argentina,ARG,1994,7.065107
Argentina,ARG,1995,7.414152
Argentina,ARG,1996,7.766816
Argentina,ARG,1997,6.1277137
Argentina,ARG,1998,8.23741
Argentina,ARG,1999,9.885469
Argentina,ARG,2000,7.512647
Argentina,ARG,2001,6.1568522
Argentina,ARG,2002,4.5862966
Argentina,ARG,2003,5.593865
Argentina,ARG,2004,9.519818
Argentina,ARG,2005,10.961645
Argentina,ARG,2006,9.9238205
Argentina,ARG,2007,14.36036
Argentina,ARG,2008,17.516068
Argentina,ARG,2009,9.620937
Argentina,ARG,2010,13.472079
Argentina,ARG,2011,14.618645
Argentina,ARG,2012,13.669181
Argentina,ARG,2013,14.939302
Argentina,ARG,2014,15.891717
Argentina,ARG,2015,15.814129
Argentina,ARG,2016,12.188642
Argentina,ARG,2017,12.525288
Argentina,ARG,2018,13.709147
Argentina,ARG,2019,8.123962
Argentina,ARG,2020,10.015325
Argentina,ARG,2021,14.052401
Argentina,ARG,2022,14.398857
Asia,,1965,2604.784
Asia,,1966,2753.783
Asia,,1967,2667.2107
Asia,,1968,2708.1685
Asia,,1969,3056.8271
Asia,,1970,3440.9536
Asia,,1971,3697.763
Asia,,1972,3842.575
Asia,,1973,3932.5076
Asia,,1974,4027.638
Asia,,1975,4352.3564
Asia,,1976,4453.9956
Asia,,1977,4754.6685
Asia,,1978,4987.2344
Asia,,1979,5233.9395
Asia,,1980,5541.4194
Asia,,1981,5723.564
Asia,,1982,5951.464
Asia,,1983,6326.967
Asia,,1984,6892.806
Asia,,1985,7993.0044
Asia,,1986,8322.275
Asia,,1987,8908.044
Asia,,1988,9504.191
Asia,,1989,9890.94
Asia,,1990,10069.819
Asia,,1991,10463.952
Asia,,1992,10792.991
Asia,,1993,11289.662
Asia,,1994,11828.354
Asia,,1995,12008.845
Asia,,1996,12512.806
Asia,,1997,12531.089
Asia,,1998,12510.558
Asia,,1999,12818.992
Asia,,2000,13324.218
Asia,,2001,13950.583
Asia,,2002,15029.36
Asia,,2003,17203.135
Asia,,2004,19355.104
Asia,,2005,22004.871
Asia,,2006,23724.082
Asia,,2007,25780.477
Asia,,2008,26500.19
Asia,,2009,27347.764
Asia,,2010,28635.13
Asia,,2011,30749.578
Asia,,2012,31463.457
Asia,,2013,32095.832
Asia,,2014,32596.094
Asia,,2015,32243.99
Asia,,2016,31842.137
Asia,,2017,32552.943
Asia,,2018,33547.27
Asia,,2019,34354.37
Asia,,2020,34336.203
Asia,,2021,36046.984
Asia,,2022,36848.836
Asia Pacific (EI),,1965,2780.7314
Asia Pacific (EI),,1966,2931.5122
Asia Pacific (EI),,1967,2854.2986
Asia Pacific (EI),,1968,2896.733
Asia Pacific (EI),,1969,3250.1877
Asia Pacific (EI),,1970,3631.1384
Asia Pacific (EI),,1971,3886.6707
Asia Pacific (EI),,1972,4036.5913
Asia Pacific (EI),,1973,4134.1763
Asia Pacific (EI),,1974,4234.7363
Asia Pacific (EI),,1975,4557.451
Asia Pacific (EI),,1976,4665.6807
Asia Pacific (EI),,1977,4975.5776
Asia Pacific (EI),,1978,5219.295
Asia Pacific (EI),,1979,5472.163
Asia Pacific (EI),,1980,5784.0054
Asia Pacific (EI),,1981,5975.036
Asia Pacific (EI),,1982,6185.461
Asia Pacific (EI),,1983,6548.081
Asia Pacific (EI),,1984,7115.33
Asia Pacific (EI),,1985,7676.926
Asia Pacific (EI),,1986,7972.3315
Asia Pacific (EI),,1987,8546.454
Asia Pacific (EI),,1988,9157.78
Asia Pacific (EI),,1989,9570.253
Asia Pacific (EI),,1990,9777.626
Asia Pacific (EI),,1991,10180.249
Asia Pacific (EI),,1992,10531.39
Asia Pacific (EI),,1993,11087.264
Asia Pacific (EI),,1994,11640.72
Asia Pacific (EI),,1995,11914.046
Asia Pacific (EI),,1996,12435.795
