Entity,Code,Year,Fossil fuels (% equivalent primary energy)
Africa,,1965,94.25971
Africa,,1966,93.88603
Africa,,1967,93.68342
Africa,,1968,93.00515
Africa,,1969,92.05608
Africa,,1970,90.851105
Africa,,1971,91.87501
Africa,,1972,91.25273
Africa,,1973,91.458374
Africa,,1974,90.74761
Africa,,1975,90.771225
Africa,,1976,90.583626
Africa,,1977,90.19691
Africa,,1978,90.48154
Africa,,1979,90.650475
Africa,,1980,91.518555
Africa,,1981,92.14725
Africa,,1982,92.62657
Africa,,1983,93.543884
Africa,,1984,93.32299
Africa,,1985,92.74602
Africa,,1986,92.189095
Africa,,1987,93.01292
Africa,,1988,92.45662
Africa,,1989,92.08697
Africa,,1990,92.49435
Africa,,1991,92.022285
Africa,,1992,92.43314
Africa,,1993,92.79108
Africa,,1994,92.68607
Africa,,1995,92.56665
Africa,,1996,92.4216
Africa,,1997,92.32977
Africa,,1998,92.0502
Africa,,1999,91.97484
Africa,,2000,91.63795
Africa,,2001,91.64654
Africa,,2002,91.32289
Africa,,2003,91.888
Africa,,2004,92.03741
Africa,,2005,92.14925
Africa,,2006,92.12917
Africa,,2007,92.17321
Africa,,2008,92.4098
Africa,,2009,92.39261
Africa,,2010,92.056465
Africa,,2011,91.96526
Africa,,2012,92.245346
Africa,,2013,92.0092
Africa,,2014,91.72573
Africa,,2015,91.87643
Africa,,2016,91.96154
Africa,,2017,91.59525
Africa,,2018,91.37327
Africa,,2019,90.95632
Africa,,2020,89.99511
Africa,,2021,90.027306
Africa,,2022,89.89478
Africa (EI),,1965,94.25971
Africa (EI),,1966,93.88603
Africa (EI),,1967,93.68342
Africa (EI),,1968,93.00515
Africa (EI),,1969,92.05608
Africa (EI),,1970,90.851105
Africa (EI),,1971,91.87501
Africa (EI),,1972,91.25273
Africa (EI),,1973,91.458374
Africa (EI),,1974,90.74761
Africa (EI),,1975,90.77123
Africa (EI),,1976,90.583626
Africa (EI),,1977,90.1969
Africa (EI),,1978,90.48154
Africa (EI),,1979,90.650475
Africa (EI),,1980,91.518555
Africa (EI),,1981,92.14725
Africa (EI),,1982,92.62657
Africa (EI),,1983,93.543884
Africa (EI),,1984,93.32299
Africa (EI),,1985,92.74602
Africa (EI),,1986,92.189095
Africa (EI),,1987,93.01292
Africa (EI),,1988,92.45662
Africa (EI),,1989,92.08697
Africa (EI),,1990,92.49435
Africa (EI),,1991,92.022285
Africa (EI),,1992,92.43314
Africa (EI),,1993,92.79108
Africa (EI),,1994,92.68607
Africa (EI),,1995,92.56665
Africa (EI),,1996,92.4216
Africa (EI),,1997,92.32977
Africa (EI),,1998,92.0502
Africa (EI),,1999,91.97484
Africa (EI),,2000,91.63795
Africa (EI),,2001,91.64654
Africa (EI),,2002,91.32288
Africa (EI),,2003,91.888
Africa (EI),,2004,92.03741
Africa (EI),,2005,92.149254
Africa (EI),,2006,92.12917
Africa (EI),,2007,92.17321
Africa (EI),,2008,92.4098
Africa (EI),,2009,92.39261
Africa (EI),,2010,92.056465
Africa (EI),,2011,91.96526
Africa (EI),,2012,92.245346
Africa (EI),,2013,92.0092
Africa (EI),,2014,91.72573
Africa (EI),,2015,91.87643
Africa (EI),,2016,91.96154
Africa (EI),,2017,91.59525
Africa (EI),,2018,91.37327
Africa (EI),,2019,90.95632
Africa (EI),,2020,89.99511
Africa (EI),,2021,90.027306
Africa (EI),,2022,89.89478
Algeria,DZA,1965,95.23693
Algeria,DZA,1966,96.481255
Algeria,DZA,1967,95.708046
Algeria,DZA,1968,94.5138
Algeria,DZA,1969,96.81723
Algeria,DZA,1970,95.33431
Algeria,DZA,1971,97.54408
Algeria,DZA,1972,96.72166
Algeria,DZA,1973,95.82417
Algeria,DZA,1974,97.50526
