Entity,Code,Year,Gas consumption - TWh
Africa,,1965,9.571929
Africa,,1966,10.698091
Africa,,1967,10.573845
Africa,,1968,10.717145
Africa,,1969,12.520175
Africa,,1970,15.5485
Africa,,1971,18.405262
Africa,,1972,24.670656
Africa,,1973,39.551792
Africa,,1974,44.518486
Africa,,1975,53.63838
Africa,,1976,60.98139
Africa,,1977,68.23419
Africa,,1978,97.369896
Africa,,1979,148.8428
Africa,,1980,186.91397
Africa,,1981,228.49115
Africa,,1982,246.73354
Africa,,1983,271.27533
Africa,,1984,259.90277
Africa,,1985,278.84274
Africa,,1986,313.27118
Africa,,1987,323.38437
Africa,,1988,358.44452
Africa,,1989,371.47104
Africa,,1990,398.64536
Africa,,1991,401.6356
Africa,,1992,421.27026
Africa,,1993,412.64395
Africa,,1994,431.82794
Africa,,1995,461.2435
Africa,,1996,484.19174
Africa,,1997,474.47552
Africa,,1998,499.33698
Africa,,1999,504.01962
Africa,,2000,556.8223
Africa,,2001,634.6361
Africa,,2002,670.636
Africa,,2003,711.536
Africa,,2004,783.10583
Africa,,2005,808.0279
Africa,,2006,843.74774
Africa,,2007,900.41455
Africa,,2008,935.5027
Africa,,2009,941.2384
Africa,,2010,981.41986
Africa,,2011,1061.5934
Africa,,2012,1147.7354
Africa,,2013,1170.6193
Africa,,2014,1203.4098
Africa,,2015,1326.6871
Africa,,2016,1371.4885
Africa,,2017,1450.0593
Africa,,2018,1544.4722
Africa,,2019,1551.5337
Africa,,2020,1536.9286
Africa,,2021,1684.705
Africa,,2022,1625.0382
Africa (EI),,1965,9.571929
Africa (EI),,1966,10.698091
Africa (EI),,1967,10.573844
Africa (EI),,1968,10.717145
Africa (EI),,1969,12.520175
Africa (EI),,1970,15.548499
Africa (EI),,1971,18.405264
Africa (EI),,1972,24.670656
Africa (EI),,1973,39.551792
Africa (EI),,1974,44.518486
Africa (EI),,1975,53.638374
Africa (EI),,1976,60.98139
Africa (EI),,1977,68.23419
Africa (EI),,1978,97.369896
Africa (EI),,1979,148.8428
Africa (EI),,1980,186.91397
Africa (EI),,1981,228.49115
Africa (EI),,1982,246.73354
Africa (EI),,1983,271.27533
Africa (EI),,1984,259.90277
Africa (EI),,1985,278.84274
Africa (EI),,1986,313.2712
Africa (EI),,1987,323.38437
Africa (EI),,1988,358.44455
Africa (EI),,1989,371.47104
Africa (EI),,1990,398.6454
Africa (EI),,1991,401.6356
Africa (EI),,1992,421.27026
Africa (EI),,1993,412.64398
Africa (EI),,1994,431.8279
Africa (EI),,1995,461.24347
Africa (EI),,1996,484.19174
Africa (EI),,1997,474.47552
Africa (EI),,1998,499.33698
Africa (EI),,1999,504.0196
Africa (EI),,2000,556.8223
Africa (EI),,2001,634.6361
Africa (EI),,2002,670.636
Africa (EI),,2003,711.5361
Africa (EI),,2004,783.1059
Africa (EI),,2005,808.02795
Africa (EI),,2006,843.74774
Africa (EI),,2007,900.4145
Africa (EI),,2008,935.5027
Africa (EI),,2009,941.2384
Africa (EI),,2010,981.41986
Africa (EI),,2011,1061.5934
Africa (EI),,2012,1147.7354
Africa (EI),,2013,1170.6193
Africa (EI),,2014,1203.4098
Africa (EI),,2015,1326.6871
Africa (EI),,2016,1371.4885
Africa (EI),,2017,1450.0592
Africa (EI),,2018,1544.472
Africa (EI),,2019,1551.5338
Africa (EI),,2020,1536.9285
Africa (EI),,2021,1684.7048
Africa (EI),,2022,1625.0382
Algeria,DZA,1965,7.4305
Algeria,DZA,1966,7.7192497
Algeria,DZA,1967,7.48825
Algeria,DZA,1968,7.87325
Algeria,DZA,1969,10.351687
Algeria,DZA,1970,9.730875
Algeria,DZA,1971,11.0494995
